SERVICE,Task Name,Category,Task Description,Frequency,Task Type,Automated (Y/N),Notes,Source,Documentation Link
Microsoft Defender For Identity," understand, classify, remediate, and prevent Compromised credential alerts",Security Tasks,"Typically, cyberattacks are launched against any accessible entity, such as a low-privileged user, and then quickly move laterally until the attacker gains access to valuable assets. Valuable assets can be sensitive accounts, domain administrators, or highly sensitive data. ",Daily,Monitoring,,,,Microsoft Defender for Identity compromised credentials phase security alerts | Microsoft Docs
Microsoft Defender For Identity," understand, classify, remediate, and prevent Lateral movement alerts",Security Tasks,"Typically, cyberattacks are launched against any accessible entity, such as a low-privileged user, and then quickly move laterally until the attacker gains access to valuable assets. Valuable assets can be sensitive accounts, domain administrators, or highly sensitive data. ",Daily,Monitoring,,,,Microsoft Defender for Identity lateral movement security alerts | Microsoft Docs
Microsoft Defender For Identity," understand, classify, remediate, and prevent Domain dominance alerts",Security Tasks,"Typically, cyberattacks are launched against any accessible entity, such as a low-privileged user, and then quickly move laterally until the attacker gains access to valuable assets. Valuable assets can be sensitive accounts, domain administrators, or highly sensitive data. ",Daily,Monitoring,,,,Microsoft Defender for Identity domain dominance security alerts | Microsoft Docs
Microsoft Defender For Identity," understand, classify, remediate, and prevent Exfiltration alerts",Security Tasks,"Typically, cyberattacks are launched against any accessible entity, such as a low-privileged user, and then quickly move laterally until the attacker gains access to valuable assets. Valuable assets can be sensitive accounts, domain administrators, or highly sensitive data. ",Daily,Monitoring,,,,Microsoft Defender for Identity exfiltration alerts tutorial | Microsoft Docs
Microsoft Defender For Identity,investigation steps for suspicious users,Security Tasks,"Check and investigate the user profile for the following details and activities:
Who is the user?
Suspicious activities to investigate?",Ad hoc,Monitoring,,,,Microsoft Defender for Identity user investigation tutorial | Microsoft Docs
Microsoft Defender For Identity,Investigation steps for suspicious computers,Security Tasks,"Check and investigate the computer profile for the following details and activities:
What happened around the time of the suspicious activity?
Additional suspicious activities to investigate?",Ad hoc,Monitoring,,,,Microsoft Defender for Identity computer investigation tutorial | Microsoft Docs
Microsoft Defender For Identity,Investigate potential lateral movement paths,Security Tasks,"Use LMPs to investigate potential lateral movement paths, and along with Defender for Identity security alerts, gain a better understanding of what happened in your network and how.",Ad hoc,Monitoring,,,,Investigating lateral movement paths with Microsoft Defender for Identity | Microsoft Docs
Microsoft Defender For Identity,Investigate an entity,Security Tasks,"To drill down into the entity involved in the alert, and use the following parameters and details to learn more about what happened and what you need to do to mitigate risk.",Ad hoc,Monitoring,,,,How to investigate users and computers with Microsoft Defender for Identity | Microsoft Docs
Microsoft Defender For Identity,Manage Azure ATP sensor health alerts,Security Tasks,"The Microsoft Defender for Identity Health Centre lets you know when there's a problem with your Defender for Identity instance, by raising a health alert.",Weekly,Monitoring,,,,Understanding Microsoft Defender for Identity health alerts | Microsoft Docs
Microsoft Defender For Identity,Configure Azure ATP sensor settings,Security Tasks,"After the Defender for Identity sensor is installed, configure Defender for Identity sensor settings.",Ad hoc,Support,,,,Configure Microsoft Defender for Identity sensor settings conceptual | Microsoft Docs
Microsoft Intune,Add apps to Intune,Mobile Application Management,"Before you can configure, assign, protect, or monitor apps, you must add them to Microsoft Intune.",Ad hoc,Support,,,RACI,Add apps to Microsoft Intune | Microsoft Docs
Microsoft Intune,Assign apps to groups,Mobile Application Management,Assign the app to users and devices to note deploy an app to a device whether or not the device is managed by Intune.,Ad hoc,Support,,,RACI,Assign apps to groups in Microsoft Intune | Microsoft Docs
Microsoft Intune,Include and exclude apps,Mobile Application Management,Determine who has access to an app by assigning groups of users to include and exclude,Ad hoc,Support,,,RACI,Include and exclude app assignments in Microsoft Intune | Microsoft Docs
Microsoft Intune,Deploy Windows 10 apps,Mobile Application Management,Deployment scenarios on Windows 10 devices.,Ad hoc,Support,,,RACI,Windows 10/11 app deployment by using Microsoft Intune | Microsoft Docs
Microsoft Intune,Monitor apps,Mobile Application Management,To monitor the properties of apps that you manage and to manage app assignment status.,Daily,Monitoring,,,RACI,Monitor app information and assignments - Microsoft Intune | Microsoft Docs
Microsoft Intune,Monitor Intune discovered apps,Mobile Application Management,"For personal devices, Intune never collects information on applications that are unmanaged. On corporate devices, any app whether it is a managed app or not is collected for this report. ",Daily,Monitoring,,,RACI,Discovered apps - Microsoft Intune | Microsoft Docs
Microsoft Intune,Add app configuration policies,Mobile Application Management,Eliminate app setup problems by assigning configuration settings to a policy that is assigned to end-users before they run the app.,Ad hoc,Support,,,RACI,App configuration policies for Microsoft Intune | Microsoft Docs
Microsoft Intune,Add app configuration policies for iOS,Mobile Application Management,Provide custom configuration settings for an iOS/iPadOS app,Ad hoc,Support,,,RACI,Add app configuration policies for managed iOS/iPadOS devices - Microsoft Intune | Microsoft Docs
Microsoft Intune,Add app configuration policies for Android,Mobile Application Management,Provide custom configuration settings for an Andriod app,Ad hoc,Support,Yes,,RACI,Add app configuration policies for managed Android Enterprise devices - Microsoft Intune | Microsoft Docs
Microsoft Intune,Add configuration policies for Intune App SDK managed apps,Mobile Application Management,The Intune App Software Development Kit (SDK) supports app configuration delivery through the mobile app management (MAM) channel.,Ad hoc,Support,No,,RACI,Configuration policies for Intune App SDK managed apps - Microsoft Intune | Microsoft Docs
Microsoft Intune,Use iOS provisioning profiles,Mobile Application Management,Apple iOS/iPadOS line-of-business apps that are assigned to iPhones and iPads are built with an included provisioning profile and code that is signed with a certificate.,Ad hoc,Support,,,RACI,iOS/iPadOS app provisioning profiles in Microsoft Intune | Microsoft Docs
Microsoft Intune,Configure the Microsoft Managed Home Screen app for Android Enterprise,Mobile Application Management,Provides IT admins the ability to customize devices and to restrict the capabilities that the end user can access.,Ad hoc,Support,,,RACI,Configure the Microsoft Managed Home Screen app - Microsoft Intune | Microsoft Docs
Microsoft Intune,Configure the Company Portal,Mobile Application Management,"Common task may include enrolling devices, installing apps, and locating information (such as for assistance from your IT department).",Ad hoc,Support,,,RACI,"How to configure the Intune Company Portal apps, Company Portal website, and Intune app - Microsoft Intune | Microsoft Docs"
Microsoft Intune,Configure Microsoft Launcher,Mobile Application Management,"Customize managed device home screens by selecting the wallpaper, apps, and icon positions.",Ad hoc,Support,,,RACI,Configure Microsoft Launcher for Android Enterprise with Intune | Microsoft Docs
Microsoft Intune,Configure Microsoft Edge,Mobile Application Management,Edge for iOS and Android is designed to enable users to browse the web and supports multi-identity.,Ad hoc,Support,,,RACI,Manage Edge for iOS and Android with Intune | Microsoft Docs
Microsoft Intune,Configure Office,Mobile Application Management,Deploy a conditional access policy that allows connectivity to Office for iOS and Android from mobile devices and an Intune app protection policy that ensures the collaboration experience is protected.,Ad hoc,Support,,,RACI,Manage Office for iOS and Android with Intune | Microsoft Docs
